"URL"	"Status"	"Previous traffic"	"Current traffic"	"Traffic change"	"Previous traffic cost"	"Current traffic cost"	"Traffic cost change"	"Previous # of keywords"	"Current # of keywords"	"Keywords change"	"Previous # of ads"	"Current # of ads"	"Ads change"	"Previous top keyword"	"Current top keyword"	"Previous top keyword: Country"	"Current top keyword: Country"	"Previous top keyword: Volume"	"Current top keyword: Volume"
"https://consumerlifetips.com/top-snap-on-veneers/"	""	"5056"	"20672"	"15616"	"9012.19"	"35012.79"	"26000.60"	"125"	"302"	"177"	"150"	"321"	"171"	"veneers cost"	"snap on veneers"	"United States"	"United States"	"34000"	"12000"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=185016943379&utm_term=snap-on%20veneers&creativeId=772156896954&adgroupid=185016943379&targetid=kwd-338300133803&gclid=EAIaIQobChMIn6zMq5qakQMVfjcIBR148DrkEAAYAiAFEgIpdfD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVtjMQBfDGF9rUqsRtksV14Fy&gclid=EAIaIQobChMIn6zMq5qakQMVfjcIBR148DrkEAAYAiAFEgIpdfD_BwE"	"New"	""	"18"	"18"	""	"30.98"	"30.98"	""	"1"	"1"	""	"1"	"1"	""	"snap on veneers"	""	"United States"	""	"12000"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=185016943379&utm_term=snap-on%20veneers&creativeId=772156896954&adgroupid=185016943379&targetid=kwd-338300133803&gclid=EAIaIQobChMIn6zMq5qakQMVfjcIBR148DrkEAAYAiAEEgL_4PD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVtjMQBfDGF9rUqsRtksV14Fy&gclid=EAIaIQobChMIn6zMq5qakQMVfjcIBR148DrkEAAYAiAEEgL_4PD_BwE"	"New"	""	"18"	"18"	""	"30.98"	"30.98"	""	"1"	"1"	""	"1"	"1"	""	"snap on veneers"	""	"United States"	""	"12000"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20in%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-645166315425&gclid=EAIaIQobChMI65LorLyokQMVmSjUAR3D2gStEAAYAiAEEgJKRvD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVsi7SD8T6oTJFXck4fLwwKFX&gclid=EAIaIQobChMI65LorLyokQMVmSjUAR3D2gStEAAYAiAEEgJKRvD_BwE"	"New"	""	"17"	"17"	""	"22.38"	"22.38"	""	"1"	"1"	""	"1"	"1"	""	"fake teeth"	""	"United States"	""	"10000"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20in%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-645166315425&gclid=EAIaIQobChMI65LorLyokQMVmSjUAR3D2gStEAAYAiAFEgI_-fD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVsi7SD8T6oTJFXck4fLwwKFX&gclid=EAIaIQobChMI65LorLyokQMVmSjUAR3D2gStEAAYAiAFEgI_-fD_BwE"	"New"	""	"17"	"17"	""	"22.38"	"22.38"	""	"1"	"1"	""	"1"	"1"	""	"fake teeth"	""	"United States"	""	"10000"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20in%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-645166315425&gclid=EAIaIQobChMIt_PY6r7PkQMVTz1ECB1ekg-pEAAYAiAFEgJRRPD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVtgJZY5zye9vlEnG7yMjeqaV&gclid=EAIaIQobChMIt_PY6r7PkQMVTz1ECB1ekg-pEAAYAiAFEgJRRPD_BwE"	"New"	""	"5"	"5"	""	"6.34"	"6.34"	""	"1"	"1"	""	"1"	"1"	""	"dental veneers cost"	""	"United States"	""	"2900"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20on%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-299105642569&gclid=EAIaIQobChMIz-jQmuSkkQMV4TcIBR2_MiETEAAYAiAEEgIGYfD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVtSP2WjeeACI_GFdRa9hvwXy&gclid=EAIaIQobChMIz-jQmuSkkQMV4TcIBR2_MiETEAAYAiAEEgIGYfD_BwE"	"New"	""	"5"	"5"	""	"10.24"	"10.24"	""	"1"	"1"	""	"1"	"1"	""	"snap on dentures"	""	"United States"	""	"3100"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20in%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-645166315425&gclid=EAIaIQobChMIt_PY6r7PkQMVTz1ECB1ekg-pEAAYAiAEEgKv-fD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVtgJZY5zye9vlEnG7yMjeqaV&gclid=EAIaIQobChMIt_PY6r7PkQMVTz1ECB1ekg-pEAAYAiAEEgKv-fD_BwE"	"New"	""	"5"	"5"	""	"6.34"	"6.34"	""	"1"	"1"	""	"1"	"1"	""	"dental veneers cost"	""	"United States"	""	"2900"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20on%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-299105642569&gclid=EAIaIQobChMI3YWjrKe_kQMVezMIBR3d9BvPEAAYAiAFEgJaCfD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVsLuSvBs5ihgpNtMavNk4Wd7&gclid=EAIaIQobChMI3YWjrKe_kQMVezMIBR3d9BvPEAAYAiAFEgJaCfD_BwE"	"New"	""	"5"	"5"	""	"10.24"	"10.24"	""	"1"	"1"	""	"1"	"1"	""	"snap on dentures"	""	"United States"	""	"3100"
"https://consumerlifetips.com/top-snap-on-veneers/?utm_source=google&utm_medium=cpc&utm_id=22978901242&utm_content=182629825177&utm_term=best%20snap%20on%20veneers&creativeId=772157188296&adgroupid=182629825177&targetid=kwd-299105642569&gclid=EAIaIQobChMI3YWjrKe_kQMVezMIBR3d9BvPEAAYAiAEEgJs6vD_BwE&gad_source=1&gad_campaignid=22978901242&gbraid=0AAAAAp_5rVsLuSvBs5ihgpNtMavNk4Wd7&gclid=EAIaIQobChMI3YWjrKe_kQMVezMIBR3d9BvPEAAYAiAEEgJs6vD_BwE"	"New"	""	"5"	"5"	""	"10.24"	"10.24"	""	"1"	"1"	""	"1"	"1"	""	"snap on dentures"	""	"United States"	""	"3100"
